Customer,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Air Carrier
Met Office,409.9,1,409.9,Ticket,ECONOMY,05/09/2011,564,STAVANGER,LONDON - LHR,BRITISH MIDLAND
Met Office,196,1,196,Ticket,ECONOMY,06/09/2011,304,EAST MIDLANDS,ABERDEEN,EASTERN AIRWAYS
Met Office,178.3,1,178.3,Ticket,ECONOMY,06/09/2011,749,LONDON - LHR,OSLO,BRITISH AIRWAYS
Met Office,60,1,60,Ticket,ECONOMY,06/09/2011,0,LONDON - LHR,GENEVA,BRITISH AIRWAYS
Met Office,16,1,16,Ticket,ECONOMY,06/09/2011,0,LONDON - LHR,GENEVA,BRITISH AIRWAYS
Met Office,218.9,1,218.9,Ticket,ECONOMY,07/09/2011,266,MANCHESTER,ABERDEEN,BRITISH MIDLAND
Met Office,137.49,1,137.49,Ticket,ECONOMY,07/09/2011,0,NULL,NULL,FLYBE
Met Office,120.48,1,120.48,Ticket,ECONOMY,07/09/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,120.48,1,120.48,Ticket,ECONOMY,07/09/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,114.8,1,114.8,Ticket,ECONOMY,07/09/2011,585,MUNICH,LONDON - LHR,BRITISH AIRWAYS
Met Office,109.94,1,109.94,Ticket,ECONOMY,07/09/2011,429,INVERNESS,BRISTOL,EASYJET
Met Office,90.24,1,90.24,Ticket,ECONOMY,07/09/2011,317,EDINBURGH,BRISTOL,EASYJET
Met Office,69.48,1,69.48,Ticket,ECONOMY,07/09/2011,266,ABERDEEN,MANCHESTER,FLYBE
